instance,instance_idx,seed,episode,reward,served,makespan,co2_kg,actor_loss,critic_loss,entropy,entropy_coef,grad_norm
R103,19,19,0,-745.6389826451453,81,210.18110770276277,274.62955985818144,1.0330053567886353,147.66905212402344,0.6685372591018677,0.1,1.0789057351124258
R103,19,19,1,-129.54460554353489,91,210.18110770276277,319.22748261471907,1.5937329530715942,1.022234320640564,0.932297706604004,0.0995477386934673,1.1078375787949672
R103,19,19,2,-449.2624981687025,87,210.18110770276277,300.4566622487006,1.2221359014511108,11.561349868774414,0.5226704478263855,0.0990954773869346,1.2185661959819287
R103,19,19,3,-315.31747071664915,91,210.4710386214716,286.53372209074166,1.1972121000289917,2.151441097259521,0.5040115118026733,0.098643216080402,1.241823490957957
R103,19,19,4,-289.3019124997597,94,210.18110770276277,305.4911667319711,0.2482906728982925,11.177603721618652,0.2729042172431946,0.0981909547738693,1.3439958037072477
R103,19,19,5,-655.3136487169555,91,210.18110770276277,297.36507297983445,0.6019014120101929,11.369606018066406,0.3776494860649109,0.0977386934673367,1.2039575544809038
R103,19,19,6,-888.4787018752678,93,220.44907248094148,306.29204601215326,0.4526496827602386,19.864940643310547,0.3122608065605163,0.097286432160804,1.280587653178233
R103,19,19,7,-780.7596336908463,94,210.18110770276277,309.3409902789275,0.810133695602417,16.663875579833984,0.3417294919490814,0.0968341708542713,1.283210185363948
R103,19,19,8,41.81677592505103,99,210.18110770276277,339.41825635973186,2.795774221420288,71.52124786376953,0.6730343103408813,0.0963819095477387,1.500994114472238
R103,19,19,9,-198.750450275834,98,213.00963193750812,320.0220924770411,0.8746613264083862,32.6103515625,0.3048610389232635,0.095929648241206,1.2708489724536265
R103,19,19,10,-878.256612065367,97,210.18110770276277,329.584207280857,0.4782173931598663,31.741966247558597,0.2818663120269775,0.0954773869346733,1.2663204495864997
R103,19,19,11,-2105.4246037528264,95,213.16838710757568,286.10821916309453,0.7434263229370117,149.7397918701172,0.3948089480400085,0.0950251256281407,1.202409556312555
R103,19,19,12,-1737.9322176127307,97,210.18110770276277,325.91002629332525,0.5668274164199829,82.87080383300781,0.2772677838802337,0.094572864321608,1.2920956617052384
R103,19,19,13,-3577.6215674945674,92,213.05219941309855,261.86694309677176,3.0195136070251465,517.4014282226562,0.9252814054489136,0.0941206030150754,1.0402412325510917
R103,19,19,14,-2864.140600380506,95,210.18110770276277,293.71707278301847,2.393506526947021,279.788818359375,0.605588436126709,0.0936683417085427,1.3054334598065438
R103,19,19,15,-3527.251003559264,95,210.0,274.5745721936142,3.4409303665161133,454.9556884765625,0.6903446316719055,0.09321608040201,1.0824791707596406
R103,19,19,16,-3625.275331370758,93,210.38320511361317,259.22289910313606,4.7050461769104,427.5901184082031,0.6446584463119507,0.0927638190954773,1.3871990392952205
R103,19,19,17,9.305907005043348,100,210.18110770276277,352.3595123894295,13.358211517333984,151.19190979003906,1.2507778406143188,0.0923115577889447,5.830534163487235
R103,19,19,18,-3689.926848016783,97,210.0,283.219392324252,3.604682207107544,364.2838745117188,0.3947876691818237,0.091859296482412,2.5260885856964013
R103,19,19,19,-3591.8030367989427,97,210.0,276.6742893183632,4.699071884155273,315.8167724609375,0.4859893321990967,0.0914070351758794,2.2463515689326856
R103,19,19,20,-3708.665507473565,96,210.0,248.7073122826203,7.372407913208008,324.6187438964844,0.6543769240379333,0.0909547738693467,1.4046784414438476
R103,19,19,21,-3812.613006891555,95,210.0,272.4086712610366,9.890843391418455,288.4206848144531,0.769809901714325,0.090502512562814,2.040857453126488
R103,19,19,22,-3753.943194931781,94,210.0,255.81405211866272,12.095797538757324,241.52413940429688,0.8339833617210388,0.0900502512562814,2.0706250224759706
R103,19,19,23,-3685.1553006019576,98,212.80997174130715,278.21086658756576,4.871407508850098,189.02005004882807,0.3136419057846069,0.0895979899497487,3.1244031717671352
R103,19,19,24,-3844.098644573801,97,210.0,264.06576304920105,7.715539455413818,192.39013671875,0.4241759479045868,0.089145728643216,3.074760340833811
R103,19,19,25,-3760.0326193559495,96,212.85451868895555,260.0217462372994,13.431459426879885,160.108154296875,0.6664706468582153,0.0886934673366834,3.4494526525660447
R103,19,19,26,-3935.389429107317,99,210.76738473125067,260.9262860715454,2.2219672203063965,145.0209197998047,0.0989490076899528,0.0882412060301507,1.9279767688918656
R103,19,19,27,-3761.6836182338407,97,210.0,257.1224121558941,8.057635307312012,122.93062591552734,0.3207624852657318,0.0877889447236181,3.0720695922936088
R103,19,19,28,-3839.803707773143,99,210.17156164236823,247.86913851542892,2.8848440647125244,119.37586212158205,0.1032718643546104,0.0873366834170854,2.3309451438245574
R103,19,19,29,-3672.4553066913313,93,210.0,232.30353779422052,21.305517196655277,124.03624725341795,0.7410681843757629,0.0868844221105527,5.112004248126299
R103,19,19,30,-3935.732487556891,97,210.0,279.8216583712605,13.666722297668455,133.112060546875,0.4800807237625122,0.0864321608040201,4.369495089275771
R103,19,19,31,-3837.975809680117,96,210.0,271.9838731200782,15.317458152770996,142.6912384033203,0.5088090896606445,0.0859798994974874,3.396609180651555
R103,19,19,32,-3795.626315308197,96,210.0,265.0842102054648,15.245537757873535,146.75877380371094,0.5107656121253967,0.0855276381909547,9.078788063403358
R103,19,19,33,-3835.660400821356,98,210.0,265.10693388090453,6.50299882888794,143.88836669921875,0.2112352848052978,0.0850753768844221,3.6621382811359178
R103,19,19,34,-3875.3043585972177,97,210.0,279.53623906481187,11.909646034240724,143.3677978515625,0.40736985206604,0.0846231155778894,2.764431625914352
R103,19,19,35,-3801.061895013093,97,210.4992214429619,270.04126334206217,14.4486665725708,133.60862731933594,0.5112079977989197,0.0841708542713568,4.018827237681785
R103,19,19,36,-3908.273351809067,96,210.0,265.51556787271136,17.06402587890625,132.71434020996094,0.6232312321662903,0.0837185929648241,3.340292024923506
R103,19,19,37,-3832.568325699117,98,220.24166091947188,252.3788837994109,6.159268856048584,122.04263305664062,0.23282191157341,0.0832663316582914,2.3312752934533423
R103,19,19,38,-3818.3997476773498,94,210.0,248.2664984515666,9.2421875,118.75580596923828,0.3637804687023163,0.0828140703517588,2.733703181978285
R103,19,19,39,-100.9659715796553,100,210.18110770276277,337.7328526530307,33.0212516784668,903.65966796875,1.1710506677627563,0.0823618090452261,25.72332626547656
R103,19,19,40,-3864.267535753037,96,210.0,262.8450238353578,8.753703117370605,115.32164001464844,0.3840338885784149,0.0819095477386934,2.8253630750830028
R103,19,19,41,-3857.0456829542654,94,210.0,260.6971219695103,15.561574935913086,111.8857650756836,0.6902102828025818,0.0814572864321608,7.816473354831263
R103,19,19,42,-3891.3116961540873,99,210.0,250.20779743605817,3.015231847763061,121.5076141357422,0.1290744245052337,0.0810050251256281,2.3695057008235603
R103,19,19,43,-3919.404626816496,98,210.2239930606875,272.9364178776638,4.1763529777526855,124.6159896850586,0.1773681640625,0.0805527638190955,2.9680509045289303
R103,19,19,44,-3854.796354097557,98,210.0,275.19756939837094,4.2373046875,124.94239807128906,0.1712465435266494,0.0801005025125628,3.651094894275134
R103,19,19,45,-3939.813959351788,99,210.0,277.20930623452574,2.6939353942871094,124.09049224853516,0.0974896550178527,0.0796482412060301,2.61356779845396
R103,19,19,46,-3874.4037745356095,96,210.0,261.6025163570739,4.196442604064941,110.5478515625,0.1570854187011718,0.0791959798994974,3.268621794482159
R103,19,19,47,-3975.519694498729,98,220.43307900688745,278.3464629991527,6.301188945770264,115.64753723144533,0.2441263645887375,0.0787437185929648,3.190370650806324
R103,19,19,48,-3998.3147874612414,98,210.0,274.8765249741611,6.724690437316895,112.0913314819336,0.2483889758586883,0.0782914572864321,4.6113653508662615
R103,19,19,49,-3912.268662287475,98,210.0,260.1791081916498,7.414936542510986,112.30825805664062,0.2573514878749847,0.0778391959798995,4.256368017591039
R103,19,19,50,-4043.319290146431,98,210.0,291.5461934309542,8.24254322052002,114.59728240966795,0.299027144908905,0.0773869346733668,5.425048778683804
R103,19,19,51,-3956.52067498169,97,210.0,277.6804499877928,12.745927810668944,116.57119750976562,0.464621365070343,0.0769346733668341,6.412733119125488
R103,19,19,52,-3936.959792940785,98,210.0,257.9731952938563,8.924641609191895,112.15645599365234,0.3201103508472442,0.0764824120603015,5.202656309537552
R103,19,19,53,-320.5860366276213,100,210.18110770276277,345.91043739235977,37.76362228393555,1049.87744140625,1.061333417892456,0.0760301507537688,31.680792405207843
R103,19,19,54,-3945.065061195077,97,210.0,262.0433741300509,11.759053230285645,112.19498443603516,0.457924485206604,0.0755778894472361,3.274039056170987
R103,19,19,55,-3899.074223009434,94,210.0,267.382815339622,8.099180221557617,106.0441665649414,0.3062140047550201,0.0751256281407035,4.436104353520907
R103,19,19,56,-4044.12727123155,98,210.0,278.751514154366,8.473936080932617,113.0041275024414,0.3513540029525757,0.0746733668341708,7.811686725247513
R103,19,19,57,-4051.969877038296,98,210.0,257.3132513588644,8.747787475585938,115.45838165283205,0.3740855455398559,0.0742211055276381,4.58219192626423
R103,19,19,58,-4066.623665769028,99,210.0,268.4157771793524,3.1757771968841557,117.92286682128906,0.0980403050780296,0.0737688442211055,3.66551157067715
R103,19,19,59,-3856.836397891236,94,210.1104834939252,239.22426526082376,10.718828201293944,96.45658111572266,0.4122563898563385,0.0733165829145728,4.764860498361695
R103,19,19,60,-4135.135154289814,98,210.0,278.0901028598759,9.900355339050291,117.62271881103516,0.414454698562622,0.0728643216080402,5.268631345740962
R103,19,19,61,-4091.536013342172,98,210.0,278.3573422281142,9.75347900390625,112.33604431152344,0.3962607383728027,0.0724120603015075,6.974534170257527
R103,19,19,62,-4087.7623956902416,99,213.192616170475,274.50826379349496,3.431565046310425,114.66178131103516,0.0990628525614738,0.0719597989949748,3.893763000564548
R103,19,19,63,-4074.4800397219938,99,210.0,278.9866931479956,3.653976202011109,109.2663116455078,0.1045285537838935,0.0715075376884422,3.6409165425279
R103,19,19,64,-4189.594741449125,98,210.0,266.3964942994163,9.152915000915527,108.35433959960938,0.3245868682861328,0.0710552763819095,7.595195868090447
R103,19,19,65,-4106.400498547445,98,211.58356633304248,274.9336656982968,9.988800048828123,108.35297393798828,0.3383130133152008,0.0706030150753768,4.881023500391793
R103,19,19,66,-4259.719017344501,99,210.0,279.8126782296663,3.947875499725342,108.91973114013672,0.0982436165213584,0.0701507537688442,5.053647436950088
R103,19,19,67,-4056.05366177392,98,210.0,254.70244118261343,7.868242263793945,113.35950469970705,0.2427583783864975,0.0696984924623115,6.0567983971509625
R103,19,19,68,-4293.188632198093,99,210.0,280.7924214653951,3.920254707336426,108.59601593017578,0.0987177267670631,0.0692462311557789,4.676190988534887
R103,19,19,69,-4037.1927715157008,98,210.0,252.79518101046696,6.993091106414795,110.37135314941406,0.2352382838726043,0.0687939698492462,6.797399741777125
R103,19,19,70,-3993.741169891555,94,210.0,245.160779927703,12.33814525604248,114.87191772460938,0.4236539006233215,0.0683417085427135,5.761578719167013
R103,19,19,71,-4214.889717152771,98,210.0,259.25981143518044,6.181579113006592,105.2360382080078,0.2005612105131149,0.0678894472361809,8.477008016805941
R103,19,19,72,-4144.08935685954,98,210.0,262.72623790636027,5.551047325134277,107.9261474609375,0.1838393062353134,0.0674371859296482,4.0527779082752255
R103,19,19,73,-4296.048334572,98,210.0,270.69888971466713,6.298629283905029,106.72354125976562,0.2156786918640136,0.0669849246231155,5.720732465143265
R103,19,19,74,-4273.193980378947,99,213.49544151837347,275.46265358596526,3.5246119499206543,112.527587890625,0.0950787439942359,0.0665326633165829,4.7564514919515455
R103,19,19,75,-4329.9055526942975,99,210.0,278.60370179619827,3.506469249725342,112.70398712158205,0.0896893292665481,0.0660804020100502,5.242323576615011
R103,19,19,76,-4236.970602063661,98,210.0,284.6470680424406,6.638163566589356,105.814453125,0.2193322330713272,0.0656281407035175,6.432185970369783
R103,19,19,77,-4162.43213543479,98,220.24166091947188,269.62142362319327,8.868476867675781,106.04580688476562,0.3000968098640442,0.0651758793969849,8.272772599285695
R103,19,19,78,-4234.544642362498,98,210.43397708493185,280.3630949083318,7.482556343078613,105.97429656982422,0.2292999327182769,0.0647236180904522,10.253862723121902
R103,19,19,79,-4244.129760399756,98,210.0,260.086506933171,7.885649681091309,106.7009506225586,0.2580122053623199,0.0642713567839196,5.152513479541839
R103,19,19,80,-4316.253774616014,98,212.839967856819,278.8358497440096,8.962950706481934,106.95027160644533,0.3045766055583954,0.0638190954773869,7.283905985628226
R103,19,19,81,-4269.428075089029,99,210.0,288.9520500593532,3.9245526790618896,103.92854309082033,0.0956208631396293,0.0633668341708542,5.644338130617199
R103,19,19,82,-561.1262722758669,100,210.18110770276277,357.5201523134121,36.59380722045898,1450.58203125,0.8911268711090088,0.0629145728643216,46.72112243140141
R103,19,19,83,-4344.417271063504,98,210.0,260.2781807090027,9.915164947509766,104.30848693847656,0.3616927862167358,0.0624623115577889,5.72408425282571
R103,19,19,84,-4289.727634157647,99,210.0,267.81842277176486,3.939298868179321,104.76770782470705,0.0998415499925613,0.0620100502512562,6.208431405267841
R103,19,19,85,-4233.40672581307,98,210.0,242.27115054204663,9.573593139648438,105.66339111328124,0.3418893814086914,0.0615577889447236,9.625073321174664
R103,19,19,86,-4288.328695359996,99,212.79554175279995,258.88579690666427,3.827048540115357,105.00286865234376,0.0923374518752098,0.0611055276381909,4.582440630355979
