instance,class,method,n_customers,service_rate_raw,service_rate_feasible,n_served_raw,n_served_feasible,makespan
C204,C,AM,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,POMO,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,TD-Split,100,1.0,1.0,100.0,100.0,3277.713918980941
C204,C,GAT-MARL,100,1.0,1.0,100.0,100.0,3354.4545
C205,C,NNH,100,1.0,1.0,100.0,100.0,3084.1954228082905
C205,C,CWS,100,1.0,0.08,100.0,8.0,6109.449817795576
C205,C,ALNS,100,1.0,1.0,100.0,100.0,3225.841456587977
C205,C,AM,100,1.0,1.0,100.0,100.0,3084.012643803354
C205,C,POMO,100,0.95,0.95,95.0,95.0,3084.516097123472
C205,C,TD-Split,100,1.0,1.0,100.0,100.0,3084.1954228082905
C205,C,GAT-MARL,100,0.97,0.97,97.0,97.0,3139.197
C206,C,NNH,100,1.0,1.0,100.0,100.0,3066.486621002424
C206,C,CWS,100,1.0,0.11,100.0,11.0,6130.449817795576
C206,C,ALNS,100,1.0,1.0,100.0,100.0,3345.644749537945
C206,C,AM,100,1.0,1.0,100.0,100.0,3066.486621002424
C206,C,POMO,100,0.98,0.98,98.0,98.0,3066.486621002424
C206,C,TD-Split,100,1.0,1.0,100.0,100.0,3066.486621002424
C206,C,GAT-MARL,100,0.99,0.99,99.0,99.0,3156.644
C207,C,NNH,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,CWS,100,1.0,0.21,100.0,21.0,6130.449817795576
C207,C,ALNS,100,1.0,1.0,100.0,100.0,3242.685548651033
C207,C,AM,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,POMO,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,TD-Split,100,1.0,1.0,100.0,100.0,3066.486621002424
C207,C,GAT-MARL,100,0.99,0.99,99.0,99.0,3066.0
C208,C,NNH,100,1.0,1.0,100.0,100.0,2920.2768282009074
C208,C,CWS,100,1.0,0.32,100.0,32.0,5789.449817795574
C208,C,ALNS,100,1.0,1.0,100.0,100.0,3242.60083886516
C208,C,AM,100,1.0,1.0,100.0,100.0,2919.988510108162
C208,C,POMO,100,1.0,1.0,100.0,100.0,2920.763761031688
C208,C,TD-Split,100,1.0,1.0,100.0,100.0,2920.2768282009074
C208,C,GAT-MARL,100,1.0,1.0,100.0,100.0,3011.3701
R101,R,NNH,100,0.7,0.7,70.0,70.0,210.18110770276277
R101,R,CWS,100,1.0,0.2,100.0,20.0,344.688085034551
R101,R,ALNS,100,0.7,0.7,70.0,70.0,210.18110770276277
R101,R,AM,100,0.68,0.68,68.0,68.0,210.18110770276277
R101,R,POMO,100,0.65,0.65,65.0,65.0,210.18110770276277
R101,R,TD-Split,100,0.84,0.84,84.0,84.0,210.18110770276277
R101,R,GAT-MARL,100,0.82,0.82,82.0,82.0,210.0
R102,R,NNH,100,0.86,0.86,86.0,86.0,210.18110770276277
R102,R,CWS,100,1.0,0.34,100.0,34.0,344.688085034551
R102,R,ALNS,100,0.86,0.86,86.0,86.0,215.53171196648225
R102,R,AM,100,0.87,0.87,87.0,87.0,210.18110770276277
R102,R,POMO,100,0.84,0.84,84.0,84.0,210.18110770276277
R102,R,TD-Split,100,0.94,0.94,94.0,94.0,210.18110770276277
R102,R,GAT-MARL,100,0.9,0.9,90.0,90.0,206.6716
R103,R,NNH,100,0.96,0.96,96.0,96.0,210.18110770276277
R103,R,CWS,100,1.0,0.49,100.0,49.0,344.688085034551
R103,R,ALNS,100,0.96,0.96,96.0,96.0,212.4373731019593
R103,R,AM,100,0.96,0.96,96.0,96.0,210.18110770276277
R103,R,POMO,100,0.93,0.93,93.0,93.0,210.18110770276277
R103,R,TD-Split,100,1.0,1.0,100.0,100.0,210.18110770276277
R103,R,GAT-MARL,100,1.0,1.0,100.0,100.0,213.7229
R104,R,NNH,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,CWS,100,1.0,0.79,100.0,79.0,263.6582057639946
R104,R,ALNS,100,1.0,1.0,100.0,100.0,215.4817913232166
